Date,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Provinsi
2023-03-17,45.25,38.27,35.34,Sumatera Utara
2023-03-18,45.208571428571425,37.02,35.68918367346939,Sumatera Utara
2023-03-19,44.71,36.79,35.770495626822154,Sumatera Utara
2023-03-20,44.87,37.88,35.7648521449396,Sumatera Utara
2023-03-21,45.96,39.34,36.01,Sumatera Utara
2023-03-22,45.1969387755102,39.25,35.65840245135955,Sumatera Utara
2023-03-23,45.233644314868805,38.93,35.31,Sumatera Utara
2023-03-24,45.20416493127863,38.64,35.61,Sumatera Utara
2023-03-25,45.36,38.08,35.68756198522725,Sumatera Utara
2023-03-26,45.14,39.18,35.07,Sumatera Utara
2023-03-27,47.89,40.3,35.91,Sumatera Utara
2023-03-28,46.81,39.37,35.23,Sumatera Utara
2023-03-29,46.32,38.74,35.44,Sumatera Utara
2023-03-30,47.39,39.53,36.03,Sumatera Utara
2023-03-31,46.05,39.04,36.19,Sumatera Utara
2023-04-01,46.05,38.5,35.68,Sumatera Utara
2023-04-02,46.62,39.0,35.9,Sumatera Utara
2023-04-03,46.96,38.47,35.61,Sumatera Utara
2023-04-04,44.94,38.16,35.33,Sumatera Utara
2023-04-05,46.332857142857144,37.24,35.27,Sumatera Utara
2023-04-06,44.75,36.75,35.71571428571429,Sumatera Utara
2023-04-07,45.95755102040817,37.41,35.67,Sumatera Utara
2023-04-08,46.85,37.5,35.69,Sumatera Utara
2023-04-09,46.76,37.06,35.58,Sumatera Utara
2023-04-10,45.63,37.05,36.26,Sumatera Utara
2023-04-11,45.49,37.31,36.42,Sumatera Utara
2023-04-12,46.69,37.18857142857143,35.82,Sumatera Utara
2023-04-13,45.34,37.181224489795916,36.42,Sumatera Utara
2023-04-14,45.69,36.73,36.83,Sumatera Utara
2023-04-15,45.65,36.87,36.29,Sumatera Utara
2023-04-16,45.43,37.07,36.83,Sumatera Utara
2023-04-17,44.98,37.0571137026239,36.58,Sumatera Utara
2023-04-18,44.85,37.058129945855896,35.28,Sumatera Utara
2023-04-19,45.29,37.02214850954959,35.6,Sumatera Utara
2023-04-20,46.27,37.64,35.89,Sumatera Utara
2023-04-21,47.01,37.01,37.07,Sumatera Utara
2023-04-22,47.29,38.86,36.19,Sumatera Utara
2023-04-23,47.29,38.86,36.19,Sumatera Utara
2023-04-24,48.97,42.43,38.23,Sumatera Utara
2023-04-25,47.27,39.36,36.84,Sumatera Utara
2023-04-26,46.47,37.67,35.62,Sumatera Utara
2023-04-27,46.58,37.33,35.55,Sumatera Utara
2023-04-28,46.4,37.09,35.79,Sumatera Utara
2023-04-29,45.73,37.71,36.01,Sumatera Utara
2023-04-30,47.8,38.39,36.54,Sumatera Utara
2023-05-01,47.1,38.49,36.36857142857143,Sumatera Utara
2023-05-02,48.43,39.21,37.87,Sumatera Utara
2023-05-03,46.95,38.53,36.39,Sumatera Utara
2023-05-04,45.65,38.03,36.47,Sumatera Utara
2023-05-05,46.3,37.35,37.17,Sumatera Utara
2023-05-06,46.44,37.08,37.48,Sumatera Utara
2023-05-07,46.58,37.53,38.04,Sumatera Utara
2023-05-08,47.31,37.51,38.19,Sumatera Utara
2023-05-09,47.53,37.89,38.43,Sumatera Utara
2023-05-10,47.57,37.53,37.85,Sumatera Utara
2023-05-11,47.93,37.51,37.58,Sumatera Utara
2023-05-12,47.42,37.48571428571429,38.72,Sumatera Utara
2023-05-13,47.45,37.34,38.81,Sumatera Utara
2023-05-14,47.95,38.04,39.31,Sumatera Utara
2023-05-15,47.24,37.61510204081633,37.69,Sumatera Utara
2023-05-16,48.16,38.03,37.8,Sumatera Utara
2023-05-17,47.62,37.13,38.04,Sumatera Utara
2023-05-18,48.3,37.51,38.25,Sumatera Utara
2023-05-19,47.01,37.09,37.54,Sumatera Utara
2023-05-20,46.42,37.73,37.81,Sumatera Utara
2023-05-21,45.72,38.17,38.28,Sumatera Utara
2023-05-22,46.17,37.73,37.95,Sumatera Utara
2023-05-23,46.37,36.88,38.14,Sumatera Utara
2023-05-24,45.44,37.462857142857146,38.1,Sumatera Utara
2023-05-25,46.07,37.5104081632653,37.78,Sumatera Utara
2023-05-26,45.86,37.51046647230321,37.32,Sumatera Utara
2023-05-27,45.39,37.570533111203666,37.7,Sumatera Utara
2023-05-28,46.88,37.5477521270899,35.86,Sumatera Utara
2023-05-29,46.93,37.45885957381704,36.55,Sumatera Utara
2023-05-30,46.57,37.420125227219465,36.86,Sumatera Utara
2023-05-31,46.16285714285714,37.4972859739651,37.167142857142856,Sumatera Utara
2023-06-01,44.89,37.5022043784091,35.91,Sumatera Utara
2023-06-02,45.87,37.501032409143924,37.06,Sumatera Utara
2023-06-03,45.36,37.499684685835454,36.63,Sumatera Utara
2023-06-04,46.25,37.48956348221143,36.9,Sumatera Utara
2023-06-05,46.0,37.48125081865736,36.37,Sumatera Utara
2023-06-06,46.94,37.26,36.64,Sumatera Utara
2023-06-07,46.44,36.73,36.73,Sumatera Utara
2023-06-08,46.74,36.99,36.93,Sumatera Utara
2023-01-06,40.7,41.13,41.18,Sumatera Barat
2023-01-07,40.7,39.15,37.54,Sumatera Barat
2023-01-08,40.7,39.02,38.94,Sumatera Barat
2023-01-09,40.7,40.54,43.25,Sumatera Barat
2023-01-10,40.7,38.71,36.65,Sumatera Barat
2023-01-11,42.67,38.45,37.78,Sumatera Barat
2023-01-12,41.028333333333336,39.38,36.13,Sumatera Barat
2023-01-13,41.02833333333334,38.73,35.04,Sumatera Barat
2023-01-14,43.07,39.0,34.86,Sumatera Barat
2023-01-15,41.413809523809526,39.36,35.21,Sumatera Barat
2023-01-16,43.82,38.66,35.28,Sumatera Barat
2023-01-17,43.51,37.26,34.68,Sumatera Barat
2023-01-18,43.89,38.16,33.49,Sumatera Barat
2023-01-19,45.11,38.54,34.955714285714286,Sumatera Barat
2023-01-20,43.52,37.4,34.78795918367347,Sumatera Barat
2023-01-21,44.85,38.59,33.28,Sumatera Barat
2023-01-22,44.15,39.0,33.98,Sumatera Barat
2023-01-23,44.33,38.97,33.91,Sumatera Barat
2023-01-24,44.15,38.22,33.15,Sumatera Barat
2023-01-25,44.84,37.7,33.3,Sumatera Barat
2023-01-26,44.6,38.62,33.15,Sumatera Barat
